name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,assessed_name,risk,V
Kadzinuni Dispensary,11447,Level 2,Kilifi North,-3.74511,39.81237,22620,3086,10282,0,0,0,0,0,-0.232,0.2,102.4,2.9,2.8,4.3,False,,,
Ziani Dispensary,18374,Level 2,Kilifi South,-3.75564,39.71749,21601,0,6172,0,0,0,0,0,-0.242,0.4,100.6,21.9,3.1,6.0,False,,,
Junju Dispensary,11444,Level 2,Kilifi South,-3.8299,39.7611,21601,0,9257,0,0,0,0,0,-0.18,0.1,107.9,9.7,2.4,3.5,False,,,
Mtwapa Health Centre,11672,Level 3,Kilifi South,-3.9179,39.7382,21601,0,0,0,0,0,0,0,0.479,0.2,113.8,12.4,2.8,4.8,False,,,
Chalani Dispensary,16191,Level 2,Kaloleni,-3.754814,39.630511,21128,7043,8804,0,0,0,0,0,-0.315,2.2,91.4,28.9,3.5,6.5,False,,,
Mshongoleni Community Dispensary,20300,Level 2,Malindi,-3.2469,40.0273,20828,2055,6749,0,0,0,0,0,-0.08,0.2,105.6,2.9,2.3,3.8,False,,,
Kombeni Dispensary,11498,Level 2,Rabai,-3.9128,39.5871,20711,0,0,0,0,0,0,0,0.202,2.8,105.9,12.4,2.4,3.8,True,Kombeni Dispensary,32.6,3.63
Bwagamoyo Dispensary,11266,Level 2,Rabai,-3.9202,39.6445,20711,0,3452,0,0,0,0,0,-0.155,1.5,110.6,12.4,2.7,5.1,True,Bwagamoyo Dispensary,38.6,3.99
Rabai Rural Health Demonstration Centre,11748,Level 3,Rabai,-3.939,39.5664,20711,0,3452,0,0,0,0,0,0.105,3.0,107.2,12.4,2.6,5.1,True,Rabai Sub County Hospital,25.0,3.43
Adu Dispensary,11198,Level 2,Magarini,-2.8398,39.9799,20038,13150,16281,0,0,0,0,3131,-0.574,3.6,90.4,23.5,7.0,24.6,False,,,
Kadaina Community Dispensary,11445,Level 2,Kilifi North,-3.379185,39.930862,19482,5094,9205,0,0,0,0,0,-0.286,0.8,93.7,2.9,4.1,6.5,True,Kadaina Community Dispensary,29.7,3.43
Gongoni Health Centre,11401,Level 3,Magarini,-3.0361,40.1334,19405,0,5946,0,0,0,0,626,-0.169,0.2,100.1,4.0,5.4,10.6,True,Gongoni Health Centre,23.3,2.59
Ganda Dispensary,11382,Level 2,Malindi,-3.2181,40.0941,19399,0,0,0,0,0,0,0,0.214,0.1,104.8,2.9,2.5,3.9,False,,,
Ngerenya Dispensary,11713,Level 2,Kilifi North,-3.5135,39.8623,19301,0,6567,0,4913,0,401,0,-0.252,0.0,99.0,39.3,3.4,5.8,False,,,
Vipingo Rural Demonstration Health Centre,11881,Level 3,Kilifi South,-3.8193,39.8094,18515,3086,3086,0,0,0,0,0,0.139,0.1,105.9,1.4,2.4,4.0,True,Vipingo Rural Demonstration Health Centre,25.0,2.68
Shangia Dispensary,16189,Level 2,Kaloleni,-3.8028,39.4083,17851,2562,6885,0,5683,0,401,802,-0.146,11.0,81.0,67.9,4.8,16.1,True,Shangia Dispensary,41.9,4.34
Mwangatini Dispensary,11689,Level 2,Magarini,-3.1434,40.0495,17837,11265,11891,0,0,0,0,0,-0.58,0.5,104.5,3.7,3.4,4.4,False,,,
Kinarani Dispensary,11481,Level 2,Kaloleni,-3.7296,39.5792,17607,1761,7043,0,0,0,0,0,-0.348,3.5,85.3,28.9,3.3,5.8,False,,,
Mariakani District Hospital,11566,Level 4,Kaloleni,-3.8567,39.4939,17607,1761,3521,0,8804,0,0,0,0.082,6.6,89.4,106.1,3.4,5.7,True,Mariakani Sub County Hospital,27.5,3.18
Mavueni Dispensary,18482,Level 2,Kilifi North,-3.678,39.79902,17245,0,401,0,0,0,0,0,0.026,0.4,99.6,3.1,2.6,5.0,True,Mavueni Dispensary,35.7,4.29
Watamu Dispensary,11895,Level 2,Kilifi North,-3.3501,40.0123,16443,2055,2055,0,0,0,0,0,0.149,0.1,99.7,2.9,3.1,4.5,True,Watamu Dispensary,39.6,4.4
Jibana Sub District Hospital,11432,Level 4,Kaloleni,-3.8311,39.6865,15865,1761,7932,0,0,0,0,0,-0.248,0.5,104.6,18.8,2.5,4.1,True,Jibana Sub District Hospital,16.6,2.17
Mtepeni Dispensary,11666,Level 2,Kilifi South,-3.9002,39.7316,15795,6538,9623,0,0,0,0,0,-0.423,0.3,112.6,12.4,3.0,4.7,False,,,
Makanzani Dispensary,11547,Level 2,Rabai,-3.8655,39.6068,15568,0,5212,0,0,0,0,0,-0.212,2.3,99.5,17.9,2.4,5.2,False,,,
Msumarini Dispensary,11659,Level 2,Kilifi South,-3.87227,39.79793,15429,0,0,0,0,0,0,0,0.214,0.1,111.9,12.4,2.2,3.3,True,Msumarini Dispensary,28.5,3.43
Pingilikani Dispensary,11738,Level 2,Kilifi South,-3.7744,39.7735,15429,6172,6172,0,0,0,0,0,-0.24,0.2,102.8,3.1,2.1,3.8,False,,,
